agent,decisionIndex,polling
aleatoire,0,12.6
aleatoire,5,11.976
aleatoire,10,12.52
aleatoire,15,12.101
aleatoire,20,10.1
aleatoire,0,8.3
aleatoire,5,12.567
aleatoire,10,13.609
aleatoire,15,14.096
aleatoire,20,13.4
aleatoire,0,13.8
aleatoire,5,11.915
aleatoire,10,12.511
aleatoire,15,13.119
aleatoire,20,9.9
aleatoire,0,7.9
aleatoire,5,12.278
aleatoire,10,11.86
aleatoire,15,11.021
aleatoire,20,7.6
aleatoire,0,12.6
aleatoire,5,12.393
aleatoire,10,13.877
aleatoire,15,14.196
aleatoire,20,12.9
aleatoire,0,13.5
aleatoire,5,12.101
aleatoire,10,12.29
aleatoire,15,12.936
aleatoire,20,15.4
aleatoire,0,13.8
aleatoire,5,12.924
aleatoire,10,13.727
aleatoire,15,14.42
aleatoire,20,17.3
aleatoire,0,7.9
aleatoire,5,12.4
aleatoire,10,12.095
aleatoire,15,12.136
aleatoire,20,9.9
aleatoire,0,8.6
aleatoire,5,11.886
aleatoire,10,11.822
aleatoire,15,11.331
aleatoire,20,13.6
aleatoire,0,10
aleatoire,5,11.581
aleatoire,10,12.491
aleatoire,15,13.757
aleatoire,20,16.8
aleatoire,0,12.2
aleatoire,5,12.586
aleatoire,10,13.103
aleatoire,15,13.118
aleatoire,20,13.1
aleatoire,0,15.6
aleatoire,5,13.032
aleatoire,10,13.927
aleatoire,15,14.046
aleatoire,20,10.8
aleatoire,0,8.1
aleatoire,5,12.98
aleatoire,10,13.238
aleatoire,15,14.078
aleatoire,20,13.8
aleatoire,0,9.4
aleatoire,5,12.428
aleatoire,10,12.894
aleatoire,15,13.372
aleatoire,20,13.8
aleatoire,0,13
aleatoire,5,12.38
aleatoire,10,12.724
aleatoire,15,12.848
aleatoire,20,13.2
prudent,0,12.1
prudent,5,12.62
prudent,10,13.679
prudent,15,13.714
prudent,20,12.6
prudent,0,13
prudent,5,12.385
prudent,10,12.723
prudent,15,13.131
prudent,20,12.3
prudent,0,10.6
prudent,5,11.843
prudent,10,12.729
prudent,15,13.837
prudent,20,18.7
prudent,0,11.3
prudent,5,12.475
prudent,10,13.023
prudent,15,12.555
prudent,20,15.6
prudent,0,10.5
prudent,5,12.839
prudent,10,13.997
prudent,15,15.441
prudent,20,16.6
prudent,0,14
prudent,5,12.293
prudent,10,13.358
prudent,15,14.156
prudent,20,15.9
prudent,0,10.9
prudent,5,13.119
prudent,10,14.471
prudent,15,15.546
prudent,20,17
prudent,0,14.7
prudent,5,12.443
prudent,10,13.445
prudent,15,14.22
prudent,20,10.5
prudent,0,13.3
prudent,5,12.254
prudent,10,12.733
prudent,15,13.657
prudent,20,14.2
prudent,0,15
prudent,5,12.675
prudent,10,13.383
prudent,15,13.782
prudent,20,14.7
prudent,0,12.4
prudent,5,12.673
prudent,10,13.794
prudent,15,14.639
prudent,20,12.4
prudent,0,10.5
prudent,5,13.062
prudent,10,13.597
prudent,15,13.916
prudent,20,11.1
prudent,0,13.8
prudent,5,12.581
prudent,10,13.354
prudent,15,14.459
prudent,20,18.3
prudent,0,12.4
prudent,5,12.709
prudent,10,13.998
prudent,15,14.511
prudent,20,14.4
prudent,0,10.9
prudent,5,12.445
prudent,10,13.662
prudent,15,13.938
prudent,20,10.8
risque,0,6.7
risque,5,13.602
risque,10,13.901
risque,15,13.957
risque,20,13.2
risque,0,12.9
risque,5,12.547
risque,10,13.134
risque,15,14.023
risque,20,12.6
risque,0,10.6
risque,5,12.351
risque,10,13.28
risque,15,13.899
risque,20,16.6
risque,0,11.6
risque,5,12.928
risque,10,14.129
risque,15,13.938
risque,20,17
risque,0,12
risque,5,12.141
risque,10,13.155
risque,15,13.817
risque,20,14
risque,0,9
risque,5,11.764
risque,10,12.991
risque,15,13.675
risque,20,14.1
risque,0,13.5
risque,5,12.287
risque,10,13.997
risque,15,13.923
risque,20,14
risque,0,9.1
risque,5,12.516
risque,10,12.956
risque,15,13.758
risque,20,12.4
risque,0,12.8
risque,5,12.329
risque,10,13.394
risque,15,13.051
risque,20,10.4
risque,0,13
risque,5,12.093
risque,10,13.009
risque,15,14.327
risque,20,16.9
risque,0,10.8
risque,5,12.055
risque,10,13.203
risque,15,13.692
risque,20,12.5
risque,0,13
risque,5,12.365
risque,10,12.74
risque,15,13.485
risque,20,17.8
risque,0,10.4
risque,5,12.251
risque,10,13.119
risque,15,14.224
risque,20,13.5
risque,0,10.9
risque,5,12.362
risque,10,13.025
risque,15,13.622
risque,20,15.2
risque,0,12.1
risque,5,13.048
risque,10,13.986
risque,15,14.892
risque,20,13.6
ideologiquement_coherent,0,11.8
ideologiquement_coherent,5,12.57
ideologiquement_coherent,10,13.051
ideologiquement_coherent,15,13.727
ideologiquement_coherent,20,12.7
ideologiquement_coherent,0,13.8
ideologiquement_coherent,5,12.607
ideologiquement_coherent,10,13.257
ideologiquement_coherent,15,14.204
ideologiquement_coherent,20,19.3
ideologiquement_coherent,0,10.9
ideologiquement_coherent,5,12.707
ideologiquement_coherent,10,13.92
ideologiquement_coherent,15,14.928
ideologiquement_coherent,20,15.4
ideologiquement_coherent,0,10.4
ideologiquement_coherent,5,12.743
ideologiquement_coherent,10,13.612
ideologiquement_coherent,15,14.29
